,potential,Predicted fluorescence,Observed fluorescence
0,1.0617058,4.014894,3.9536881098982435
1,0.8839984,3.944004,4.002989676441136
2,0.92766374,3.964037,3.9992973274808
3,0.04284908,3.1575918,3.4876919392302255
4,0.92648256,3.963519,3.9880694061031585
5,0.90486103,3.953806,4.057136818132046
6,0.7014873,3.8383317,3.896430289186007
7,0.8691527,3.9367647,3.9743647699900833
8,0.8652548,3.9348269,4.016791503979832
9,0.92582124,3.9632287,4.0122999234322
10,0.874904,3.9395957,3.9947850375573952
11,0.28758383,3.450807,3.3858353239086774
12,0.19312276,3.3392358,3.327851975583949
13,0.107926235,3.2361207,3.3080328460070585
14,0.5100066,3.6842132,3.6293126487727925
15,0.58221436,3.7477808,3.41073108434206
16,0.57017285,3.737638,3.7025722972445587
17,1.1062461,4.0286593,3.9491857074936947
18,0.8634617,3.93393,3.922463987445009
19,0.094356164,3.2196755,3.1814939523026546
20,0.5911219,3.755165,3.8490949712106537
21,0.735874,3.8611588,3.86971600741847
22,0.7510597,3.870789,3.9162708956013765
23,0.4538883,3.6303587,3.6990607743324277
24,0.4687503,3.6449885,3.634085996648853
25,0.6736999,3.8188305,3.8389246703702162
26,0.8879674,3.9459019,3.929358830602681
27,0.9198189,3.9605732,3.91932060894916
28,0.32910073,3.4980474,3.0295647371386565
29,0.6949062,3.833799,3.7836969106367215
30,0.824127,3.913412,3.8830799266359395
31,0.7715189,3.883336,3.896567769783624
32,0.8678886,3.9361382,3.9913250483126976
33,-0.6212836,2.5767722,2.2986425126351895
34,0.4437254,3.6202068,3.4826445028964437
35,0.94355935,3.97088,4.122525636666766
36,0.88974446,3.9467468,4.029174834642597
37,-1.3165036,2.4129138,2.492615342777461
38,0.6240402,3.781579,3.8847990558271865
39,0.6537766,3.8042579,3.945417278580687
40,0.4451813,3.6216683,3.659349202315664
41,0.5184985,3.6920285,3.822165119392808
42,0.63408685,3.7893662,3.7798794698254548
43,0.7894483,3.8939347,3.975779110064708
44,0.64751184,3.7995725,3.879624855677032
45,0.70311624,3.839445,3.8513211064079176
46,0.5920417,3.7559218,3.7190950127210036
47,0.40280974,3.578157,3.6255582453828303
48,0.48804408,3.663589,3.6759040691781504
49,0.3552664,3.5270796,3.5762812217884656
50,0.52741295,3.7001362,3.6395946558915986
51,0.24987479,3.406837,3.3468953338554357
52,0.056259736,3.173685,3.093369810432115
53,-1.3433034,2.411155,2.6045197093118513
54,0.50917405,3.683442,3.695754682836468
55,0.3135795,3.480546,3.4681052129385246
56,0.33208078,3.5013843,3.5115186384787886
57,0.3996492,3.5748334,3.625550797653081
58,-0.7708578,2.514432,2.801355033647971
59,0.29264265,3.456634,3.371130158893477
60,-0.34888488,2.7523222,2.4539252728961243
61,0.50059444,3.675447,3.8221427255084937
62,0.3630271,3.5355697,3.8090759639663507
63,0.3586632,3.5308022,3.7678846641979895
64,0.7981408,3.8989425,3.8754784210800244
65,0.893967,3.948741,3.8854229687714716
66,0.98179513,3.9864054,4.036961245761673
67,0.46547288,3.6417847,3.5172700963907615
68,1.0152051,3.998941,3.9991350737113143
69,0.9178278,3.9596848,3.9610530455984994
70,-2.0187385,2.4133258,2.506239900448153
71,0.9144419,3.9581652,3.917761677987739
72,0.982452,3.986661,4.000004974874395
73,0.10169794,3.22857,3.1967617499590006
74,0.94084746,3.969729,3.9649553687581505
75,0.84331733,3.9236264,3.9301491967222892
76,0.65580696,3.8057656,3.835071329820786
77,0.6370208,3.791616,3.929858559742933
78,0.6437567,3.7967405,3.836492636484077
79,0.7566686,3.874277,3.771578989329233
80,0.45182127,3.628304,3.6641789938662486
81,0.6946617,3.8336296,3.826561474172076
82,0.35952437,3.531745,3.4825483044327754
83,0.9233191,3.9621258,4.162791510666401
84,0.9477211,3.972633,4.17432169956496
85,0.9498065,3.9735055,4.173624138347858
86,0.839075,3.9214025,3.9458899837723336
87,0.8444782,3.924232,3.946103437022124
88,0.87096566,3.9376607,3.8976594351037237
89,0.9791499,3.9853725,3.4399931751218187
90,0.35167116,3.523127,3.4892681969055164
91,0.86128265,3.9328356,3.9448895629923535
92,0.8909525,3.947319,3.9194281545073935
93,0.9675295,3.980764,3.9890500019782715
94,0.8916796,3.9476628,3.9509259023539767
95,0.8451707,3.924592,3.9341861122343356
96,0.70888776,3.8433652,3.7717388105060365
97,-0.5776146,2.5991135,2.728038583651823
98,0.86501426,3.9347067,3.727193153079095
99,0.668727,3.8152394,3.7277773592475665
100,0.88187456,3.9429817,3.9615465701377546
101,0.8081327,3.9045944,3.985679701632078
102,0.9756753,3.984007,3.969574064680664
103,0.8754485,3.9398618,3.917659202861168
104,0.8554494,3.9298825,4.012206828644511
105,0.8910185,3.9473505,3.944398135975281
106,0.74505514,3.867014,3.877344779325528
107,-1.1686184,2.426707,2.468426502272075
108,0.03707312,3.1506815,2.575228413405146
109,0.621391,3.7795038,3.914522890885035
110,0.4079101,3.583499,3.5766013586943832
111,0.66724485,3.8141632,3.845582432737465
112,0.64904916,3.800727,3.860189356233858
113,-0.9616034,2.460958,2.483446233265634
114,0.50879645,3.683092,3.7732095780989656
115,0.67454135,3.8194351,3.920511236964792
116,0.70742494,3.8423753,3.886268680719826
117,0.7028823,3.8392854,3.7969382855184106
118,0.67170614,3.8173947,3.8977226779614993
119,0.5315563,3.7038708,3.814066342255603
120,0.21116148,3.3608713,3.3904276183260214
121,0.6335209,3.788931,3.80407983908443
122,-1.3407584,2.4113133,3.2150763196812915
123,0.9836672,3.9871325,3.935707668512941
124,0.86481035,3.9346046,3.9259190132374124
125,0.93998224,3.9693604,3.9411461580217875
126,0.83725226,3.9204407,3.9793317875593566
127,-2.5184195,2.4451227,2.253387367417491
128,-0.8982258,2.4759862,2.0171964562211495
129,0.9000681,3.951592,3.97900335774625
130,0.95548594,3.975862,3.9696958437509102
131,0.9948037,3.9913974,3.9110452052234295
132,0.88528234,3.9446197,3.4121098986910376
133,0.97497636,3.9837308,3.9588051814429024
134,0.8438145,3.9238858,3.840571485883732
135,0.8514342,3.9278293,3.969020809357698
136,0.8216296,3.912054,3.9562923917190105
137,0.59032804,3.7545109,3.949345441399081
138,0.8296266,3.91638,4.0731370278235035
139,0.91466576,3.9582658,3.9285492052176556
140,0.5835605,3.7489033,3.71910828319884
141,0.83911526,3.921424,3.907126921733247
142,0.76887417,3.881741,3.9145138354404625
143,0.6653797,3.8128052,3.9253917766449136
144,0.7864881,3.8922105,3.853633005067512
145,0.36891168,3.5419688,3.5249341410409385
146,0.45032,3.6268082,2.732303805178484
147,0.34631544,3.5172176,3.630866548521652
148,0.3069769,3.4730415,2.490114135535881
149,0.27047563,3.4309711,2.6928303500421853
150,-0.38965493,2.720277,2.45333904402495
151,0.5899311,3.7541838,2.5538537348560397
152,1.0549381,4.012676,3.9649846243431544
153,1.0433805,4.008807,3.963096752546396
154,1.0687362,4.0171623,3.989997503488641
155,0.83185863,3.917575,3.973830676910439
156,0.7935975,3.8963356,3.880306919111863
157,0.95780987,3.976818,4.000929033931941
158,1.0561179,4.013065,3.947949943019036
159,0.1299517,3.2628388,3.2359936048591993
160,0.31396544,3.4809837,3.654849358692465
161,0.97566336,3.984002,4.008509789833003
162,-0.652432,2.5620456,2.2095484310140683
163,0.88850087,3.946156,4.014917651546841
164,0.58950335,3.753831,3.756202185443576
165,0.5043048,3.6789155,3.5709809508334507
166,0.79989153,3.899941,4.0633067591781415
167,0.74810916,3.868939,3.89051975682883
168,0.2756573,3.4369998,2.2932421367852043
169,-1.4647602,2.4055486,2.744282413087858
170,-1.0297265,2.4473877,2.5175802775970975
171,0.6919703,3.83176,3.883066776435302
172,0.24365644,3.3995037,3.4391947947128294
173,0.82378,3.9132237,3.9765061680062446
174,0.8653155,3.934857,3.8998116334203132
175,0.44920045,3.625691,3.8045022160951487
176,0.9333301,3.9665031,3.9041573794994977
